Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Emory Jones",FLA,18,70,29,41,2.28,15,0,Rushing
"Jerome Ford",ALA,7,38,1,37,5.29,15,0,Rushing
"Carlin Fils-Aime",TENN,7,39,3,36,5.14,14t,1,Rushing
"Mecole Hardman",UGA,5,36,0,36,7.20,30,0,Rushing
"Cord Sandberg",AUB,3,35,0,35,11.67,15,0,Rushing
"Ronnie Clark",ALA,10,33,0,33,3.30,7,0,Rushing
"Cullen Gillaspia",TAMU,5,33,0,33,6.60,13t,1,Rushing
"Josh Hammond",FLA,2,32,0,32,16.00,21t,1,Rushing
"Jalen Mayden",MSST,7,32,0,32,4.57,14,0,Rushing
"Isaac Nauta",UGA,0,31,0,31,0.00,0,1,Rushing
"Robert Rivers",MSST,5,31,0,31,6.20,9,0,Rushing
"Micah Wilson",MIZZ,6,35,6,29,4.83,17,0,Rushing
"Joey Gatewood",AUB,3,28,0,28,9.33,20,0,Rushing
